WC Order ID,Pick Up Origin,Ship Out Date,Product SKUs,Product SKUs Quantity,Product SKUs 2,Product SKUs Quantity 2,Product SKUs 3,Product SKUs Quantity 3,Product SKUs 4,Product SKUs Quantity 4,Product SKUs 5,Product SKUs Quantity 5,Product SKUs 6,Product SKUs Quantity 6
1000719454,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/28/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,,,
1000719514,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/28/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,,,
1000719122,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/28/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000719195,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/28/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000719218,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/28/2023,Wide Mount Covers (Pack of 2) | 150-0002,2,,,,,,,,,,
1000719193,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/27/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000719221,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/27/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000719383,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/27/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000719494,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/27/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000719495,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/27/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000719146,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/27/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718299,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718310,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718340,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718421,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718475,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718550,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718561,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Tonal Accessories Shelf (Coffee Oak) | 120-0018,1,,,,,,,,,,
1000718563,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Tonal Accessories Shelf (Coffee Oak) | 120-0018,1,,,,,,,,,,
1000718566,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718618,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718758,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Tonal Accessories Shelf (Lt. Aged Ash) | 120-0016,1,,,,,,,,,,
1000718761,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718785,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718787,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,,,
1000718798,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718967,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718970,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718972,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718989,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000719011,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000719031,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000719057,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718252,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718365,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718374,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,
1000718375,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,,,
1000718392,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,,,
1000718406,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718408,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,,,,,,,,,,
1000718624,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718651,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718659,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718666,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718749,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/25/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718296,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718306,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718307,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718320,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718323,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718587,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718262,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718390,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/24/2023,Tonal Accessories Shelf (Lt. Aged Ash) | 120-0016,1,,,,,,,,,,
1000718198,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000717904,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000717935,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000717950,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000717955,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/20/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000717960,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718003,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718021,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/20/2023,Tonal Accessories Shelf (Matte Black) | 120-0017,1,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,
1000718036,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718038,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718047,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718078,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/20/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718084,SouthGilbert/2849 Ficus St/Pomona/CA/91766/USA,4/20/2023,Wide Mount Covers (Pack of 2) | 150-0002,1,,,,,,,,,,
1000718092,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,T-Locks (Pack of 4) | 210-0142,1,,,,,,,,,,
1000718105,Gilbert/1000 Riverside Drive/Keasbey/NJ/08832/USA,4/20/2023,Tonal Accessories Shelf (Coffee Oak) | 120-0018,1,,,,,,,,,,
