Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32640-0000,11/10/2020 0:00,150-0012                 ,19,100-0001-URB             ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,150-0010                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0064                 ,8
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0068                 ,1
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0070                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0071                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0097                 ,76
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0104                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0109                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0110                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0111                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,200-0113                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,210-0068                 ,76
32640-0000,11/10/2020 0:00,150-0012                 ,19,210-0226                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0014                 ,114
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0176                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0270                 ,40
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0300                 ,52
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0304                 ,228
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0346                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0388                 ,228
32640-0000,11/10/2020 0:00,150-0012                 ,19,230-0418                 ,76
32640-0000,11/10/2020 0:00,150-0012                 ,19,260-0005                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,260-0024                 ,1
32640-0000,11/10/2020 0:00,150-0012                 ,19,270-0004                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,270-0036                 ,684
32640-0000,11/10/2020 0:00,150-0012                 ,19,285-0006                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,285-0010                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,285-0032                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,285-0033                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,300-0059                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,300-0074                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,300-0129                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,300-0130                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,300-0133                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,360-0030                 ,0
32640-0000,11/10/2020 0:00,150-0012                 ,19,360-0031                 ,0
32640-0000,11/10/2020 0:00,150-0012                 ,19,423-0010                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,423-0011                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,425-0003                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,430-0004                 ,76
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0006                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0007                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0018                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0019                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0025                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0031                 ,0
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0032                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,800-0033                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,810-0003                 ,38
32640-0000,11/10/2020 0:00,150-0012                 ,19,820-0001                 ,114
32640-0000,11/10/2020 0:00,150-0012                 ,19,840-0001                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,880-0005                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,915-0001                 ,19
32640-0000,11/10/2020 0:00,150-0012                 ,19,931-0013                 ,19
