Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,100-0001-URB             ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,150-0010                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0064                 ,13.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0068                 ,2.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0070                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0071                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0097                 ,96.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0104                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0109                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0110                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0111                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,200-0113                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,210-0068                 ,96.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,210-0081                 ,2.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,210-0086                 ,2.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,210-0226                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0014                 ,144.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0176                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0300                 ,52.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0304                 ,288.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0346                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0388                 ,288.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0396                 ,864.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,230-0418                 ,96.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,260-0005                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,260-0024                 ,3.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,270-0004                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,270-0036                 ,0.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,285-0010                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,285-0032                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,285-0033                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,285-0039                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,300-0019-B               ,1.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,300-0059                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,300-0074                 ,48.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,300-0129                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,300-0130                 ,24.00000
33087-0000,3/5/2021 12:00:00 AM,150-0012                 ,24.00000,300-0133                 ,24.00000
