Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,100-0001-RMA             ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0064                 ,25.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0070                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0071                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0097                 ,244.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0104                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0109                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0110                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0111                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,200-0113                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,210-0068                 ,244.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,210-0081                 ,8.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,210-0086                 ,5.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,210-0226                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,230-0014                 ,366.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,230-0176                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,230-0304                 ,732.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,230-0346                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,230-0396                 ,2196.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,230-0418                 ,244.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,260-0005                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,270-0004                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,270-0036                 ,0.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,285-0010                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,285-0032                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,285-0033                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,285-0039                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,300-0019-B               ,3.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,300-0059                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,300-0074                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,300-0129                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,300-0130                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,300-0133                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,360-0030                 ,0.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,360-0031                 ,0.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,360-0032                 ,0.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,360-0033                 ,0.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,423-0010                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,423-0011                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,425-0003                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0006                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0007                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0018                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0019                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0031                 ,183.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0032                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,800-0033                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,810-0003                 ,122.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,820-0001                 ,366.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,840-0001                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,880-0005                 ,61.00000
33098-0000,3/9/2021 12:00:00 AM,102-0001                 ,61.00000,915-0001                 ,61.00000

