Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,100-0001-URB             ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,150-0010                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0070                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0071                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0097                 ,4.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0104                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0109                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0110                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0111                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,200-0113                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,210-0068                 ,4.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,210-0226                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0014                 ,6.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0176                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0304                 ,12.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0346                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0388                 ,12.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0396                 ,36.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,230-0418                 ,4.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,260-0005                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,270-0004                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,270-0036                 ,0.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,285-0010                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,285-0032                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,285-0033                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,285-0039                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,300-0059                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,300-0074                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,300-0129                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,300-0130                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,300-0133                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,360-0030                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,360-0031                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,360-0032                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,360-0033                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,423-0010                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,423-0011                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,425-0003                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,430-0004                 ,4.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0006                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0007                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0018                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0019                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0025                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0031                 ,3.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0032                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0033                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,800-0042                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,810-0003                 ,2.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,820-0001                 ,6.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,840-0001                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,880-0005                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,915-0001                 ,1.00000
33212-0000,4/12/2021 12:00:00 AM,150-0012                 ,1.00000,931-0013                 ,1.00000

