Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32885-0000,1/13/2021 0:00,150-0012                 ,28,100-0001-URB             ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,150-0010                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0064                 ,19
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0068                 ,2
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0070                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0071                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0097                 ,112
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0104                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0109                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0110                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0111                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,200-0113                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,210-0068                 ,112
32885-0000,1/13/2021 0:00,150-0012                 ,28,210-0226                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,230-0014                 ,168
32885-0000,1/13/2021 0:00,150-0012                 ,28,230-0176                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,230-0304                 ,336
32885-0000,1/13/2021 0:00,150-0012                 ,28,230-0346                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,230-0388                 ,336
32885-0000,1/13/2021 0:00,150-0012                 ,28,230-0418                 ,112
32885-0000,1/13/2021 0:00,150-0012                 ,28,260-0005                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,260-0024                 ,2
32885-0000,1/13/2021 0:00,150-0012                 ,28,270-0004                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,270-0036                 ,1008
32885-0000,1/13/2021 0:00,150-0012                 ,28,285-0010                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,285-0032                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,285-0033                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,285-0039                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,300-0019                 ,1
32885-0000,1/13/2021 0:00,150-0012                 ,28,300-0059                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,300-0074                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,300-0129                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,300-0130                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,300-0133                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,360-0030                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,360-0031                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,423-0010                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,423-0011                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,425-0003                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,430-0004                 ,112
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0006                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0007                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0018                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0019                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0025                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0031                 ,84
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0032                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,800-0033                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,810-0003                 ,56
32885-0000,1/13/2021 0:00,150-0012                 ,28,820-0001                 ,168
32885-0000,1/13/2021 0:00,150-0012                 ,28,840-0001                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,880-0005                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,915-0001                 ,28
32885-0000,1/13/2021 0:00,150-0012                 ,28,931-0013                 ,28
