Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32927-0000,1/27/2021 0:00,102-0001                 ,1,100-0001-RMA             ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0070                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0071                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0097                 ,4
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0104                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0109                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0110                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0111                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,200-0113                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,210-0068                 ,4
32927-0000,1/27/2021 0:00,102-0001                 ,1,210-0226                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,230-0014                 ,6
32927-0000,1/27/2021 0:00,102-0001                 ,1,230-0176                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,230-0304                 ,12
32927-0000,1/27/2021 0:00,102-0001                 ,1,230-0346                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,230-0418                 ,4
32927-0000,1/27/2021 0:00,102-0001                 ,1,260-0005                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,270-0004                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,270-0036                 ,36
32927-0000,1/27/2021 0:00,102-0001                 ,1,285-0010                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,285-0032                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,285-0033                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,285-0039                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,300-0059                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,300-0074                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,300-0129                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,300-0130                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,300-0133                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,360-0030                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,360-0031                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,423-0010                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,423-0011                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,425-0003                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0006                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0007                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0018                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0019                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0031                 ,3
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0032                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,800-0033                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,810-0003                 ,2
32927-0000,1/27/2021 0:00,102-0001                 ,1,820-0001                 ,6
32927-0000,1/27/2021 0:00,102-0001                 ,1,840-0001                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,880-0005                 ,1
32927-0000,1/27/2021 0:00,102-0001                 ,1,915-0001                 ,1
