Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32947-0000,2/2/2021 0:00,102-0001                 ,8,100-0001-RMA             ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0064                 ,6
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0068                 ,2
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0070                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0071                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0097                 ,32
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0104                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0109                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0110                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0111                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,200-0113                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,210-0068                 ,32
32947-0000,2/2/2021 0:00,102-0001                 ,8,210-0226                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0014                 ,48
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0176                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0270                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0300                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0304                 ,96
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0346                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,230-0418                 ,32
32947-0000,2/2/2021 0:00,102-0001                 ,8,260-0005                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,260-0024                 ,3
32947-0000,2/2/2021 0:00,102-0001                 ,8,270-0004                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,270-0036                 ,288
32947-0000,2/2/2021 0:00,102-0001                 ,8,285-0010                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,285-0032                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,285-0033                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,285-0039                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,300-0059                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,300-0074                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,300-0129                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,300-0130                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,300-0133                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,360-0019                 ,2
32947-0000,2/2/2021 0:00,102-0001                 ,8,360-0030                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,360-0031                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,423-0010                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,423-0011                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,425-0003                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0006                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0007                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0018                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0019                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0031                 ,24
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0032                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,800-0033                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,810-0003                 ,16
32947-0000,2/2/2021 0:00,102-0001                 ,8,820-0001                 ,48
32947-0000,2/2/2021 0:00,102-0001                 ,8,840-0001                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,880-0005                 ,8
32947-0000,2/2/2021 0:00,102-0001                 ,8,915-0001                 ,8
