Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32968-0000,2/8/2021 0:00,150-0012                 ,2,100-0001-URB             ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,150-0010                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0070                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0071                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0097                 ,8
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0104                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0109                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0110                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0111                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,200-0113                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,210-0068                 ,8
32968-0000,2/8/2021 0:00,150-0012                 ,2,210-0226                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,230-0014                 ,12
32968-0000,2/8/2021 0:00,150-0012                 ,2,230-0176                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,230-0304                 ,24
32968-0000,2/8/2021 0:00,150-0012                 ,2,230-0346                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,230-0388                 ,24
32968-0000,2/8/2021 0:00,150-0012                 ,2,230-0418                 ,8
32968-0000,2/8/2021 0:00,150-0012                 ,2,260-0005                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,270-0004                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,270-0036                 ,72
32968-0000,2/8/2021 0:00,150-0012                 ,2,285-0010                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,285-0032                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,285-0033                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,285-0039                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,300-0059                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,300-0074                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,300-0129                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,300-0130                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,300-0133                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,360-0030                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,360-0031                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,423-0010                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,423-0011                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,425-0003                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,430-0004                 ,8
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0006                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0007                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0018                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0019                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0025                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0031                 ,6
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0032                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,800-0033                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,810-0003                 ,4
32968-0000,2/8/2021 0:00,150-0012                 ,2,820-0001                 ,12
32968-0000,2/8/2021 0:00,150-0012                 ,2,840-0001                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,880-0005                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,915-0001                 ,2
32968-0000,2/8/2021 0:00,150-0012                 ,2,931-0013                 ,2
