Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,100-0001-RMA             ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0064                 ,4.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0068                 ,2.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0070                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0071                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0097                 ,36.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0104                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0109                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0110                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0111                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,200-0113                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,210-0068                 ,36.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,210-0081                 ,3.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,210-0226                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,230-0014                 ,54.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,230-0176                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,230-0300                 ,4.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,230-0304                 ,108.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,230-0346                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,230-0418                 ,36.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,260-0005                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,260-0024                 ,6.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,270-0004                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,270-0036                 ,324.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,285-0010                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,285-0032                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,285-0033                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,285-0039                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,300-0019                 ,1.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,300-0059                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,300-0074                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,300-0129                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,300-0130                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,300-0133                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,360-0030                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,360-0031                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,423-0010                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,423-0011                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,425-0003                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0006                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0007                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0018                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0019                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0031                 ,27.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0032                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,800-0033                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,810-0003                 ,18.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,820-0001                 ,54.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,840-0001                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,880-0005                 ,9.00000
33003-0000,2/17/2021 12:00:00 AM,102-0001                 ,9.00000,915-0001                 ,9.00000

