Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,100-0001-RMA             ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0070                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0071                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0097                 ,8.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0104                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0109                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0110                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0111                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,200-0113                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,210-0068                 ,8.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,210-0226                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,230-0014                 ,12.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,230-0176                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,230-0304                 ,24.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,230-0346                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,230-0396                 ,72.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,230-0418                 ,8.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,260-0005                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,270-0004                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,270-0036                 ,0.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,285-0010                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,285-0032                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,285-0033                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,285-0039                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,300-0059                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,300-0074                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,300-0129                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,300-0130                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,300-0133                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,360-0030                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,360-0031                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,360-0032                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,360-0033                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,423-0010                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,423-0011                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,425-0003                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0006                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0007                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0018                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0019                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0031                 ,6.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0032                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,800-0033                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,810-0003                 ,4.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,820-0001                 ,12.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,840-0001                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,880-0005                 ,2.00000
33036-0000,2/24/2021 12:00:00 AM,102-0001                 ,2.00000,915-0001                 ,2.00000

