Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,100-0001-URB             ,7,,, 
32619-0000,11/3/2020 0:00,150-0012                 ,7,150-0010                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0070                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0071                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0097                 ,28,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0104                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0109                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0110                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0111                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,200-0113                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,210-0068                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,210-0226                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0014                 ,42,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0176                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0270                 ,8,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0300                 ,24,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0304                 ,84,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0346                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0388                 ,84,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,230-0418                 ,28,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,260-0005                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,270-0004                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,270-0036                 ,252,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,285-0006                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,285-0010                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,285-0032                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,285-0033                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,300-0019                 ,1,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,300-0059                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,300-0074                 ,4,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,300-0129                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,300-0130                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,300-0133                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,360-0030                 ,0,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,360-0031                 ,0,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,423-0010                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,423-0011                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,425-0003                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,430-0004                 ,28,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0006                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0007                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0018                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0019                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0025                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0031                 ,0,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0032                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,800-0033                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,810-0003                 ,14,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,820-0001                 ,42,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,840-0001                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,880-0005                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,915-0001                 ,7,,,
32619-0000,11/3/2020 0:00,150-0012                 ,7,931-0013                 ,7,,,
