Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32980-0000,2/4/2021 0:00,102-0001                 ,23,100-0001-RMA             ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0064                 ,12
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0068                 ,6
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0070                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0071                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0097                 ,92
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0104                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0109                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0110                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0111                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,200-0113                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,210-0068                 ,92
32980-0000,2/4/2021 0:00,102-0001                 ,23,210-0081                 ,3
32980-0000,2/4/2021 0:00,102-0001                 ,23,210-0086                 ,1
32980-0000,2/4/2021 0:00,102-0001                 ,23,210-0226                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0014                 ,138
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0176                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0270                 ,8
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0300                 ,10
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0304                 ,276
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0346                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,230-0418                 ,92
32980-0000,2/4/2021 0:00,102-0001                 ,23,260-0005                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,270-0004                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,270-0036                 ,828
32980-0000,2/4/2021 0:00,102-0001                 ,23,285-0010                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,285-0032                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,285-0033                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,285-0039                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,300-0059                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,300-0074                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,300-0129                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,300-0130                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,300-0133                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,360-0019                 ,2
32980-0000,2/4/2021 0:00,102-0001                 ,23,360-0030                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,360-0031                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,423-0010                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,423-0011                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,425-0003                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0006                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0007                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0018                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0019                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0031                 ,69
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0032                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,800-0033                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,810-0003                 ,46
32980-0000,2/4/2021 0:00,102-0001                 ,23,820-0001                 ,138
32980-0000,2/4/2021 0:00,102-0001                 ,23,840-0001                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,880-0005                 ,23
32980-0000,2/4/2021 0:00,102-0001                 ,23,915-0001                 ,23
