Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32654-0000,11/12/2020 0:00,102-0001                 ,26,100-0001-RMA             ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0064                 ,1
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0068                 ,1
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0070                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0071                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0097                 ,104
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0104                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0109                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0110                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0111                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,200-0113                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,210-0068                 ,104
32654-0000,11/12/2020 0:00,102-0001                 ,26,210-0226                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,230-0014                 ,156
32654-0000,11/12/2020 0:00,102-0001                 ,26,230-0176                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,230-0300                 ,12
32654-0000,11/12/2020 0:00,102-0001                 ,26,230-0304                 ,312
32654-0000,11/12/2020 0:00,102-0001                 ,26,230-0346                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,230-0418                 ,104
32654-0000,11/12/2020 0:00,102-0001                 ,26,260-0005                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,270-0004                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,270-0036                 ,936
32654-0000,11/12/2020 0:00,102-0001                 ,26,285-0006                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,285-0010                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,285-0032                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,285-0033                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,300-0019                 ,2
32654-0000,11/12/2020 0:00,102-0001                 ,26,300-0059                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,300-0074                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,300-0129                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,300-0130                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,300-0133                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,360-0030                 ,0
32654-0000,11/12/2020 0:00,102-0001                 ,26,360-0031                 ,0
32654-0000,11/12/2020 0:00,102-0001                 ,26,423-0010                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,423-0011                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,425-0003                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0006                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0007                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0018                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0019                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0031                 ,0
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0032                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,800-0033                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,810-0003                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,810-0005                 ,52
32654-0000,11/12/2020 0:00,102-0001                 ,26,820-0001                 ,156
32654-0000,11/12/2020 0:00,102-0001                 ,26,840-0001                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,880-0005                 ,26
32654-0000,11/12/2020 0:00,102-0001                 ,26,915-0001                 ,26
