Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,100-0001-URB             ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,150-0010                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0070                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0071                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0097                 ,20.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0104                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0109                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0110                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0111                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,200-0113                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,210-0068                 ,20.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,210-0226                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0014                 ,30.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0176                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0304                 ,60.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0346                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0388                 ,60.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0396                 ,180.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,230-0418                 ,20.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,260-0005                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,270-0004                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,270-0036                 ,0.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,285-0010                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,285-0032                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,285-0033                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,285-0039                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,300-0059                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,300-0074                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,300-0129                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,300-0130                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,300-0133                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,360-0030                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,360-0031                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,360-0032                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,360-0033                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,423-0010                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,423-0011                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,425-0003                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,430-0004                 ,20.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0006                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0007                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0018                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0019                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0025                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0031                 ,15.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0032                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0033                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,800-0042                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,810-0003                 ,10.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,820-0001                 ,30.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,840-0001                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,880-0005                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,915-0001                 ,5.00000
33245-0000,4/15/2021 12:00:00 AM,150-0012                 ,5.00000,931-0013                 ,5.00000

