Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33292-0000,04/29/2021,102-0001                 ,19.00000,100-0001-RMA             ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0070                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0071                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0097                 ,76.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0104                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0109                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0110                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0111                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,200-0113                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,210-0068                 ,76.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,210-0226                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,230-0014                 ,114.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,230-0176                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,230-0304                 ,228.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,230-0346                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,230-0396                 ,684.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,230-0418                 ,76.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,260-0005                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,270-0004                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,270-0036                 ,0.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,285-0010                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,285-0032                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,285-0033                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,285-0039                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,300-0059                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,300-0074                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,300-0129                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,300-0130                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,300-0133                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,360-0030                 ,0.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,360-0031                 ,0.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,360-0032                 ,0.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,360-0033                 ,0.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,423-0010                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,423-0011                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,425-0003                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0006                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0007                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0018                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0019                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0031                 ,57.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0032                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,800-0033                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,810-0003                 ,38.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,820-0001                 ,114.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,840-0001                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,880-0005                 ,19.00000
33292-0000,04/29/2021,102-0001                 ,19.00000,915-0001                 ,19.00000

