Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,100-0001-RMA             ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0070                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0071                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0097                 ,88.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0104                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0109                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0110                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0111                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,200-0113                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,210-0068                 ,88.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,210-0226                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,230-0014                 ,132.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,230-0176                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,230-0304                 ,264.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,230-0346                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,230-0396                 ,792.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,230-0418                 ,88.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,260-0005                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,270-0004                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,270-0036                 ,0.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,285-0010                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,285-0032                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,285-0033                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,285-0039                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,300-0059                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,300-0074                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,300-0129                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,300-0130                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,300-0133                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,360-0030                 ,0.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,360-0031                 ,0.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,360-0032                 ,0.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,360-0033                 ,0.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,423-0010                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,423-0011                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,425-0003                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0006                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0007                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0018                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0019                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0031                 ,66.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0032                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,800-0033                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,810-0003                 ,44.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,820-0001                 ,132.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,840-0001                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,880-0005                 ,22.00000
33139-0000,3/22/2021 12:00:00 AM,102-0001                 ,22.00000,915-0001                 ,22.00000

