Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33734-0000,08/27/2021,150-0009                 ,30.00000,100-0001-RMA             ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,150-0010                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0070                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0071                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0097                 ,120.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0104                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0109                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0110                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0111                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,200-0113                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,210-0068                 ,120.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,210-0086                 ,4.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,210-0226                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0014                 ,180.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0176                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0300                 ,22.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0304                 ,0.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0346                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0388                 ,360.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0396                 ,0.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,230-0418                 ,120.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,260-0005                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,260-0007                 ,10.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,260-0024                 ,6.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,270-0004                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,270-0036                 ,0.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,285-0010                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,285-0032                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,285-0033                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,285-0039                 ,0.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,285-0076                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,300-0019                 ,6.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,300-0059                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,300-0074                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,300-0129                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,300-0130                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,300-0133                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,360-0030                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,360-0031                 ,29.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,360-0032                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,360-0033                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,360-0055                 ,9.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,423-0010                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,423-0011                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,425-0003                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,430-0004                 ,120.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,500-0102                 ,2.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,500-0400-B               ,7.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0006                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0042                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0007                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0018                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0019                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0031                 ,90.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0032                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,800-0033                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,810-0003                 ,60.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,820-0001                 ,180.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,840-0001                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,880-0005                 ,30.00000
33734-0000,08/27/2021,150-0009                 ,30.00000,915-0001                 ,30.00000

