Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33847-0000,9/27/21,150-0016,20,100-0002-RMA             ,20
33847-0000,9/27/21,150-0016,20,200-0070                 ,20
33847-0000,9/27/21,150-0016,20,200-0071                 ,20
33847-0000,9/27/21,150-0016,20,200-0097                 ,80
33847-0000,9/27/21,150-0016,20,200-0104                 ,20
33847-0000,9/27/21,150-0016,20,200-0110                 ,20
33847-0000,9/27/21,150-0016,20,200-0113                 ,20
33847-0000,9/27/21,150-0016,20,200-0140                 ,40
33847-0000,9/27/21,150-0016,20,200-0202                 ,20
33847-0000,9/27/21,150-0016,20,200-0202                 ,0
33847-0000,9/27/21,150-0016,20,210-0068                 ,80
33847-0000,9/27/21,150-0016,20,210-0156                 ,1
33847-0000,9/27/21,150-0016,20,210-0352                 ,1
33847-0000,9/27/21,150-0016,20,230-0388                 ,240
33847-0000,9/27/21,150-0016,20,230-0396                 ,720
33847-0000,9/27/21,150-0016,20,230-0444                 ,1
33847-0000,9/27/21,150-0016,20,260-0005                 ,40
33847-0000,9/27/21,150-0016,20,260-0007                 ,9
33847-0000,9/27/21,150-0016,20,260-0024                 ,2
33847-0000,9/27/21,150-0016,20,260-0078                 ,60
33847-0000,9/27/21,150-0016,20,285-0032                 ,0
33847-0000,9/27/21,150-0016,20,285-0033                 ,0
33847-0000,9/27/21,150-0016,20,285-0053                 ,20
33847-0000,9/27/21,150-0016,20,285-0076                 ,20
33847-0000,9/27/21,150-0016,20,300-0019                 ,3
33847-0000,9/27/21,150-0016,20,300-0133                 ,20
33847-0000,9/27/21,150-0016,20,300-0155                 ,40
33847-0000,9/27/21,150-0016,20,300-0160                 ,40
33847-0000,9/27/21,150-0016,20,300-0179                 ,1
33847-0000,9/27/21,150-0016,20,300-0247                 ,20
33847-0000,9/27/21,150-0016,20,300-0248                 ,20
33847-0000,9/27/21,150-0016,20,360-0059                 ,2
33847-0000,9/27/21,150-0016,20,360-0060                 ,40
33847-0000,9/27/21,150-0016,20,400-0005                 ,1
33847-0000,9/27/21,150-0016,20,423-0010                 ,40
33847-0000,9/27/21,150-0016,20,430-0002                 ,1
33847-0000,9/27/21,150-0016,20,430-0004                 ,80
33847-0000,9/27/21,150-0016,20,800-0006                 ,20
33847-0000,9/27/21,150-0016,20,800-0007                 ,20
33847-0000,9/27/21,150-0016,20,800-0018                 ,20
33847-0000,9/27/21,150-0016,20,800-0019                 ,20
33847-0000,9/27/21,150-0016,20,800-0031                 ,0
33847-0000,9/27/21,150-0016,20,800-0031                 ,60
33847-0000,9/27/21,150-0016,20,800-0032                 ,40
33847-0000,9/27/21,150-0016,20,800-0033                 ,0
33847-0000,9/27/21,150-0016,20,800-0033                 ,20
33847-0000,9/27/21,150-0016,20,810-0003                 ,40
33847-0000,9/27/21,150-0016,20,820-0001                 ,120
33847-0000,9/27/21,150-0016,20,840-0001                 ,20
33847-0000,9/27/21,150-0016,20,880-0005                 ,20
33847-0000,9/27/21,150-0016,20,915-0001                 ,20
