Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34193-0000,12/10/2021,150-0009                 ,50.00000,100-0001-RMA             ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,100-0001-RMA             ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,150-0010                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0070                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0071                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0097                 ,200.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0104                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0109                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0110                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0113                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,200-0202                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,210-0068                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,210-0068                 ,14.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,210-0226                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0014                 ,300.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0176                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0304                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0346                 ,13.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0388                 ,600.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0396                 ,1800.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,230-0418                 ,200.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,260-0005                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,260-0078                 ,25.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,270-0004                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,270-0036                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,285-0010                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,285-0032                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,285-0033                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,285-0039                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,285-0053                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,285-0076                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0019                 ,6.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0059                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0074                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0129                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0130                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0133                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0247                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,300-0248                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,360-0030                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,360-0031                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,360-0032                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,360-0033                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,423-0010                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,423-0011                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,425-0003                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,430-0004                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0006                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0007                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0042                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0018                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0019                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0031                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0032                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0033                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,810-0003                 ,100.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,820-0001                 ,300.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,840-0001                 ,0.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,840-0002                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,880-0005                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,915-0001                 ,50.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0031                 ,150.00000
34193-0000,12/10/2021,150-0009                 ,50.00000,800-0033                 ,50.00000

