Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33816-0000,9/17/2021,150-0009               ,60,100-0001-RMA             ,60
33816-0000,9/17/2021,150-0009               ,60,200-0070                 ,60
33816-0000,9/17/2021,150-0009               ,60,200-0071                 ,60
33816-0000,9/17/2021,150-0009               ,60,200-0097                 ,240
33816-0000,9/17/2021,150-0009               ,60,200-0104                 ,60
33816-0000,9/17/2021,150-0009               ,60,200-0109                 ,120
33816-0000,9/17/2021,150-0009               ,60,200-0110                 ,60
33816-0000,9/17/2021,150-0009               ,60,200-0111                 ,0
33816-0000,9/17/2021,150-0009               ,60,200-0113                 ,60
33816-0000,9/17/2021,150-0009               ,60,210-0068                 ,240
33816-0000,9/17/2021,150-0009               ,60,210-0226                 ,120
33816-0000,9/17/2021,150-0009               ,60,230-0014                 ,360
33816-0000,9/17/2021,150-0009               ,60,230-0176                 ,120
33816-0000,9/17/2021,150-0009               ,60,230-0304                 ,0
33816-0000,9/17/2021,150-0009               ,60,230-0327                 ,2
33816-0000,9/17/2021,150-0009               ,60,230-0346                 ,120
33816-0000,9/17/2021,150-0009               ,60,230-0396                 ,2160
33816-0000,9/17/2021,150-0009               ,60,230-0418                 ,240
33816-0000,9/17/2021,150-0009               ,60,260-0005                 ,120
33816-0000,9/17/2021,150-0009               ,60,260-0024                 ,6
33816-0000,9/17/2021,150-0009               ,60,270-0004                 ,46
33816-0000,9/17/2021,150-0009               ,60,270-0036                 ,0
33816-0000,9/17/2021,150-0009               ,60,285-0010                 ,120
33816-0000,9/17/2021,150-0009               ,60,285-0032                 ,40
33816-0000,9/17/2021,150-0009               ,60,285-0033                 ,38
33816-0000,9/17/2021,150-0009               ,60,285-0039                 ,0
33816-0000,9/17/2021,150-0009               ,60,285-0076                 ,60
33816-0000,9/17/2021,150-0009               ,60,300-0019                 ,3
33816-0000,9/17/2021,150-0009               ,60,300-0059                 ,120
33816-0000,9/17/2021,150-0009               ,60,300-0074                 ,120
33816-0000,9/17/2021,150-0009               ,60,300-0129                 ,60
33816-0000,9/17/2021,150-0009               ,60,300-0130                 ,60
33816-0000,9/17/2021,150-0009               ,60,300-0133                 ,60
33816-0000,9/17/2021,150-0009               ,60,360-0030                 ,30
33816-0000,9/17/2021,150-0009               ,60,360-0031                 ,30
33816-0000,9/17/2021,150-0009               ,60,360-0032                 ,60
33816-0000,9/17/2021,150-0009               ,60,360-0033                 ,60
33816-0000,9/17/2021,150-0009               ,60,423-0010                 ,120
33816-0000,9/17/2021,150-0009               ,60,423-0011                 ,0
33816-0000,9/17/2021,150-0009               ,60,425-0003                 ,120
33816-0000,9/17/2021,150-0009               ,60,800-0006                 ,60
33816-0000,9/17/2021,150-0009               ,60,800-0007                 ,60
33816-0000,9/17/2021,150-0009               ,60,800-0018                 ,60
33816-0000,9/17/2021,150-0009               ,60,800-0019                 ,60
33816-0000,9/17/2021,150-0009               ,60,800-0031                 ,0
33816-0000,9/17/2021,150-0009               ,60,800-0031                 ,180
33816-0000,9/17/2021,150-0009               ,60,800-0032                 ,120
33816-0000,9/17/2021,150-0009               ,60,800-0033                 ,0
33816-0000,9/17/2021,150-0009               ,60,800-0033                 ,60
33816-0000,9/17/2021,150-0009               ,60,810-0003                 ,120
33816-0000,9/17/2021,150-0009               ,60,820-0001                 ,360
33816-0000,9/17/2021,150-0009               ,60,840-0001                 ,60
33816-0000,9/17/2021,150-0009               ,60,880-0005                 ,60
33816-0000,9/17/2021,150-0009               ,60,915-0001                 ,60
