Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,100-0001-RMA             ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0070                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0071                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0097                 ,44.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0104                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0109                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0110                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0111                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,200-0113                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,210-0068                 ,44.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,210-0226                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,230-0014                 ,66.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,230-0176                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,230-0304                 ,132.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,230-0346                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,230-0396                 ,396.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,230-0418                 ,44.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,260-0005                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,270-0004                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,270-0036                 ,0.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,285-0010                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,285-0032                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,285-0033                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,285-0039                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,300-0059                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,300-0074                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,300-0129                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,300-0130                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,300-0133                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,360-0030                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,360-0031                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,360-0032                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,360-0033                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,423-0010                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,423-0011                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,425-0003                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0006                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0007                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0018                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0019                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0031                 ,33.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0032                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,800-0033                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,810-0003                 ,22.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,820-0001                 ,66.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,840-0001                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,880-0005                 ,11.00000
33151-0000,3/31/2021 12:00:00 AM,102-0001                 ,11.00000,915-0001                 ,11.00000

