Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32822-0000,12/21/2020 0:00,150-0012                 ,25,100-0001-URB             ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,150-0010                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0064                 ,7
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0068                 ,4
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0070                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0071                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0097                 ,100
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0104                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0109                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0110                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0111                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,200-0113                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,210-0068                 ,0
32822-0000,12/21/2020 0:00,150-0012                 ,25,210-0226                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0014                 ,150
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0176                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0270                 ,16
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0304                 ,300
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0346                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0388                 ,300
32822-0000,12/21/2020 0:00,150-0012                 ,25,230-0418                 ,100
32822-0000,12/21/2020 0:00,150-0012                 ,25,260-0005                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,260-0024                 ,2
32822-0000,12/21/2020 0:00,150-0012                 ,25,270-0004                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,270-0036                 ,900
32822-0000,12/21/2020 0:00,150-0012                 ,25,285-0010                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,285-0032                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,285-0033                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,285-0039                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,300-0019                 ,1
32822-0000,12/21/2020 0:00,150-0012                 ,25,300-0059                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,300-0074                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,300-0129                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,300-0130                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,300-0133                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,360-0030                 ,0
32822-0000,12/21/2020 0:00,150-0012                 ,25,360-0031                 ,0
32822-0000,12/21/2020 0:00,150-0012                 ,25,360-0031-B               ,1
32822-0000,12/21/2020 0:00,150-0012                 ,25,423-0010                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,423-0011                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,425-0003                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,430-0004                 ,100
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0006                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0007                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0018                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0019                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0025                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0031                 ,75
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0032                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,800-0033                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,810-0003                 ,50
32822-0000,12/21/2020 0:00,150-0012                 ,25,820-0001                 ,150
32822-0000,12/21/2020 0:00,150-0012                 ,25,840-0001                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,880-0005                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,915-0001                 ,25
32822-0000,12/21/2020 0:00,150-0012                 ,25,931-0013                 ,25
