Job No,Due Date,Part No.,Qty,Comp. Part,Issue Qty
32615-0000,10/29/2020,102-0001                 ,5,100-0001-RMA             ,5
32615-0000,10/29/2020,102-0001                 ,5,200-0070                 ,5
32615-0000,10/29/2020,102-0001                 ,5,200-0071                 ,5
32615-0000,10/29/2020,102-0001                 ,5,200-0097                 ,20
32615-0000,10/29/2020,102-0001                 ,5,200-0104                 ,5
32615-0000,10/29/2020,102-0001                 ,5,200-0109                 ,10
32615-0000,10/29/2020,102-0001                 ,5,200-0110                 ,5
32615-0000,10/29/2020,102-0001                 ,5,200-0111                 ,5
32615-0000,10/29/2020,102-0001                 ,5,200-0113                 ,5
32615-0000,10/29/2020,102-0001                 ,5,210-0068                 ,10
32615-0000,10/29/2020,102-0001                 ,5,210-0226                 ,10
32615-0000,10/29/2020,102-0001                 ,5,230-0014                 ,30
32615-0000,10/29/2020,102-0001                 ,5,230-0176                 ,10
32615-0000,10/29/2020,102-0001                 ,5,230-0300                 ,4
32615-0000,10/29/2020,102-0001                 ,5,230-0304                 ,60
32615-0000,10/29/2020,102-0001                 ,5,230-0346                 ,10
32615-0000,10/29/2020,102-0001                 ,5,230-0418                 ,20
32615-0000,10/29/2020,102-0001                 ,5,260-0005                 ,10
32615-0000,10/29/2020,102-0001                 ,5,260-0024                 ,2
32615-0000,10/29/2020,102-0001                 ,5,270-0004                 ,5
32615-0000,10/29/2020,102-0001                 ,5,270-0036                 ,180
32615-0000,10/29/2020,102-0001                 ,5,285-0006                 ,5
32615-0000,10/29/2020,102-0001                 ,5,285-0010                 ,10
32615-0000,10/29/2020,102-0001                 ,5,285-0032                 ,5
32615-0000,10/29/2020,102-0001                 ,5,285-0033                 ,5
32615-0000,10/29/2020,102-0001                 ,5,300-0059                 ,10
32615-0000,10/29/2020,102-0001                 ,5,300-0074                 ,1
32615-0000,10/29/2020,102-0001                 ,5,300-0129                 ,5
32615-0000,10/29/2020,102-0001                 ,5,300-0130                 ,5
32615-0000,10/29/2020,102-0001                 ,5,300-0133                 ,5
32615-0000,10/29/2020,102-0001                 ,5,360-0030                 ,0
32615-0000,10/29/2020,102-0001                 ,5,360-0031                 ,0
32615-0000,10/29/2020,102-0001                 ,5,423-0010                 ,10
32615-0000,10/29/2020,102-0001                 ,5,423-0011                 ,10
32615-0000,10/29/2020,102-0001                 ,5,425-0003                 ,10
32615-0000,10/29/2020,102-0001                 ,5,800-0006                 ,5
32615-0000,10/29/2020,102-0001                 ,5,800-0007                 ,5
32615-0000,10/29/2020,102-0001                 ,5,800-0018                 ,5
32615-0000,10/29/2020,102-0001                 ,5,800-0019                 ,5
32615-0000,10/29/2020,102-0001                 ,5,800-0031                 ,0
32615-0000,10/29/2020,102-0001                 ,5,800-0032                 ,10
32615-0000,10/29/2020,102-0001                 ,5,800-0033                 ,5
32615-0000,10/29/2020,102-0001                 ,5,810-0003                 ,10
32615-0000,10/29/2020,102-0001                 ,5,820-0001                 ,30
32615-0000,10/29/2020,102-0001                 ,5,840-0001                 ,5
32615-0000,10/29/2020,102-0001                 ,5,880-0005                 ,5
32615-0000,10/29/2020,102-0001                 ,5,915-0001                 ,5
