Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,100-0001-RMA             ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0070                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0071                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0097                 ,176.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0104                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0109                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0110                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0111                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,200-0113                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,210-0068                 ,176.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,210-0226                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,230-0014                 ,264.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,230-0176                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,230-0304                 ,528.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,230-0346                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,230-0396                 ,1584.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,230-0418                 ,176.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,260-0005                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,270-0004                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,270-0036                 ,0.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,285-0010                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,285-0032                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,285-0033                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,285-0039                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,300-0019-B               ,5.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,300-0059                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,300-0074                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,300-0129                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,300-0130                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,300-0133                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,360-0030                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,360-0031                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,360-0032                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,360-0033                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,423-0010                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,423-0011                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,425-0003                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0006                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0007                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0018                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0019                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0031                 ,132.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0032                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,800-0033                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,810-0003                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,810-0005                 ,88.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,820-0001                 ,264.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,840-0001                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,880-0005                 ,44.00000
33119-0000,3/16/2021 12:00:00 AM,102-0001                 ,44.00000,915-0001                 ,44.00000

