Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32799-0000,12/16/2020 0:00,150-0012                 ,18,100-0001-URB             ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,150-0010                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0064                 ,3
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0068                 ,1
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0070                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0071                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0097                 ,72
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0104                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0109                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0110                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0111                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,200-0113                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,210-0068                 ,0
32799-0000,12/16/2020 0:00,150-0012                 ,18,210-0226                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0014                 ,108
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0176                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0270                 ,20
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0300                 ,95
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0304                 ,216
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0346                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0388                 ,216
32799-0000,12/16/2020 0:00,150-0012                 ,18,230-0418                 ,72
32799-0000,12/16/2020 0:00,150-0012                 ,18,260-0005                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,260-0024                 ,1
32799-0000,12/16/2020 0:00,150-0012                 ,18,270-0004                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,270-0036                 ,648
32799-0000,12/16/2020 0:00,150-0012                 ,18,285-0010                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,285-0032                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,285-0033                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,285-0039                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,300-0019                 ,3
32799-0000,12/16/2020 0:00,150-0012                 ,18,300-0059                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,300-0074                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,300-0129                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,300-0130                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,300-0133                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,360-0030                 ,0
32799-0000,12/16/2020 0:00,150-0012                 ,18,360-0031                 ,0
32799-0000,12/16/2020 0:00,150-0012                 ,18,360-0031-B               ,2
32799-0000,12/16/2020 0:00,150-0012                 ,18,423-0010                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,423-0011                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,425-0003                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,430-0004                 ,72
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0006                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0007                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0018                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0019                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0025                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0031                 ,54
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0032                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,800-0033                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,810-0003                 ,36
32799-0000,12/16/2020 0:00,150-0012                 ,18,820-0001                 ,108
32799-0000,12/16/2020 0:00,150-0012                 ,18,840-0001                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,880-0005                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,915-0001                 ,18
32799-0000,12/16/2020 0:00,150-0012                 ,18,931-0013                 ,18
