Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32889-0000,1/14/2021 0:00,150-0012                 ,35,100-0001-URB             ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,150-0010                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0064                 ,22
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0068                 ,4
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0070                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0071                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0097                 ,140
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0104                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0109                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0110                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0111                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,200-0113                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,210-0068                 ,140
32889-0000,1/14/2021 0:00,150-0012                 ,35,210-0226                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0014                 ,210
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0176                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0270                 ,20
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0300                 ,44
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0304                 ,420
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0346                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0388                 ,420
32889-0000,1/14/2021 0:00,150-0012                 ,35,230-0418                 ,140
32889-0000,1/14/2021 0:00,150-0012                 ,35,260-0005                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,260-0024                 ,3
32889-0000,1/14/2021 0:00,150-0012                 ,35,270-0004                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,270-0036                 ,1260
32889-0000,1/14/2021 0:00,150-0012                 ,35,285-0010                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,285-0032                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,285-0033                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,285-0039                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,300-0019                 ,2
32889-0000,1/14/2021 0:00,150-0012                 ,35,300-0059                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,300-0074                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,300-0129                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,300-0130                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,300-0133                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,360-0030                 ,0
32889-0000,1/14/2021 0:00,150-0012                 ,35,360-0031                 ,0
32889-0000,1/14/2021 0:00,150-0012                 ,35,423-0010                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,423-0011                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,425-0003                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,430-0004                 ,140
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0006                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0007                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0018                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0019                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0025                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0031                 ,105
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0032                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,800-0033                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,810-0003                 ,70
32889-0000,1/14/2021 0:00,150-0012                 ,35,820-0001                 ,210
32889-0000,1/14/2021 0:00,150-0012                 ,35,840-0001                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,880-0005                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,915-0001                 ,35
32889-0000,1/14/2021 0:00,150-0012                 ,35,931-0013                 ,35
