Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32951-0000,2/2/2021 0:00,102-0001                 ,37,100-0001-RMA             ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0064                 ,42
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0068                 ,12
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0070                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0071                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0097                 ,148
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0104                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0109                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0110                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0111                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,200-0113                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,210-0068                 ,148
32951-0000,2/2/2021 0:00,102-0001                 ,37,210-0226                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,230-0014                 ,222
32951-0000,2/2/2021 0:00,102-0001                 ,37,230-0176                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,230-0270                 ,20
32951-0000,2/2/2021 0:00,102-0001                 ,37,230-0304                 ,444
32951-0000,2/2/2021 0:00,102-0001                 ,37,230-0346                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,230-0418                 ,148
32951-0000,2/2/2021 0:00,102-0001                 ,37,260-0005                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,260-0024                 ,10
32951-0000,2/2/2021 0:00,102-0001                 ,37,270-0004                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,270-0036                 ,1332
32951-0000,2/2/2021 0:00,102-0001                 ,37,285-0010                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,285-0032                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,285-0033                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,285-0039                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,300-0059                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,300-0074                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,300-0129                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,300-0130                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,300-0133                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,360-0019                 ,1
32951-0000,2/2/2021 0:00,102-0001                 ,37,360-0030                 ,0
32951-0000,2/2/2021 0:00,102-0001                 ,37,360-0031                 ,0
32951-0000,2/2/2021 0:00,102-0001                 ,37,423-0010                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,423-0011                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,425-0003                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0006                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0007                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0018                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0019                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0031                 ,111
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0032                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,800-0033                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,810-0003                 ,74
32951-0000,2/2/2021 0:00,102-0001                 ,37,820-0001                 ,222
32951-0000,2/2/2021 0:00,102-0001                 ,37,840-0001                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,880-0005                 ,37
32951-0000,2/2/2021 0:00,102-0001                 ,37,915-0001                 ,37
