Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32961-0000,2/2/2021 0:00,150-0012                 ,9,100-0001-URB             ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,150-0010                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0070                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0071                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0097                 ,36
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0104                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0109                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0110                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0111                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,200-0113                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,210-0068                 ,36
32961-0000,2/2/2021 0:00,150-0012                 ,9,210-0226                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,230-0014                 ,54
32961-0000,2/2/2021 0:00,150-0012                 ,9,230-0176                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,230-0304                 ,108
32961-0000,2/2/2021 0:00,150-0012                 ,9,230-0346                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,230-0388                 ,108
32961-0000,2/2/2021 0:00,150-0012                 ,9,230-0418                 ,36
32961-0000,2/2/2021 0:00,150-0012                 ,9,260-0005                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,270-0004                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,270-0036                 ,324
32961-0000,2/2/2021 0:00,150-0012                 ,9,285-0010                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,285-0032                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,285-0033                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,285-0039                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,300-0059                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,300-0074                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,300-0129                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,300-0130                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,300-0133                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,360-0030                 ,0
32961-0000,2/2/2021 0:00,150-0012                 ,9,360-0031                 ,0
32961-0000,2/2/2021 0:00,150-0012                 ,9,423-0010                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,423-0011                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,425-0003                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,430-0004                 ,36
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0006                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0007                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0018                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0019                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0025                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0031                 ,27
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0032                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,800-0033                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,810-0003                 ,18
32961-0000,2/2/2021 0:00,150-0012                 ,9,820-0001                 ,54
32961-0000,2/2/2021 0:00,150-0012                 ,9,840-0001                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,880-0005                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,915-0001                 ,9
32961-0000,2/2/2021 0:00,150-0012                 ,9,931-0013                 ,9
