Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33001-0000,2/16/2021 0:00,150-0012                 ,3,100-0001-URB             ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,150-0010                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0064                 ,1
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0070                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0071                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0097                 ,12
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0104                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0109                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0110                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0111                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,200-0113                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,210-0068                 ,12
33001-0000,2/16/2021 0:00,150-0012                 ,3,210-0081                 ,1
33001-0000,2/16/2021 0:00,150-0012                 ,3,210-0226                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,230-0014                 ,18
33001-0000,2/16/2021 0:00,150-0012                 ,3,230-0176                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,230-0304                 ,36
33001-0000,2/16/2021 0:00,150-0012                 ,3,230-0346                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,230-0388                 ,36
33001-0000,2/16/2021 0:00,150-0012                 ,3,230-0418                 ,12
33001-0000,2/16/2021 0:00,150-0012                 ,3,260-0005                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,260-0007                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,270-0004                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,270-0036                 ,108
33001-0000,2/16/2021 0:00,150-0012                 ,3,285-0010                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,285-0032                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,285-0033                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,285-0039                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,300-0019                 ,1
33001-0000,2/16/2021 0:00,150-0012                 ,3,300-0059                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,300-0074                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,300-0129                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,300-0130                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,300-0133                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,360-0019                 ,1
33001-0000,2/16/2021 0:00,150-0012                 ,3,360-0030                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,360-0031                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,423-0010                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,423-0011                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,425-0003                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,430-0004                 ,12
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0006                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0007                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0018                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0019                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0025                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0031                 ,9
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0032                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,800-0033                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,810-0003                 ,6
33001-0000,2/16/2021 0:00,150-0012                 ,3,820-0001                 ,18
33001-0000,2/16/2021 0:00,150-0012                 ,3,840-0001                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,880-0005                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,915-0001                 ,3
33001-0000,2/16/2021 0:00,150-0012                 ,3,931-0013                 ,3
