Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,100-0001-RMA             ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0070                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0071                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0097                 ,72.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0104                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0109                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0110                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0111                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,200-0113                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,210-0068                 ,72.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,210-0226                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,230-0014                 ,108.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,230-0176                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,230-0304                 ,216.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,230-0346                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,230-0396                 ,648.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,230-0418                 ,72.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,260-0005                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,270-0004                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,270-0036                 ,0.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,285-0010                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,285-0032                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,285-0033                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,285-0039                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,300-0059                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,300-0074                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,300-0129                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,300-0130                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,300-0133                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,360-0030                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,360-0031                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,360-0032                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,360-0033                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,423-0010                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,423-0011                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,425-0003                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0006                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0007                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0018                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0019                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0031                 ,54.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0032                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,800-0033                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,810-0003                 ,36.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,820-0001                 ,108.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,840-0001                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,880-0005                 ,18.00000
33035-0000,2/24/2021 12:00:00 AM,102-0001                 ,18.00000,915-0001                 ,18.00000

