Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32700-0000,11/25/2020 0:00,150-0012                 ,21,100-0001-URB             ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,150-0010                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0064                 ,20
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0070                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0071                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0097                 ,84
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0104                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0109                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0110                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0111                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,200-0113                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,210-0068                 ,4
32700-0000,11/25/2020 0:00,150-0012                 ,21,210-0226                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0014                 ,126
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0176                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0270                 ,32
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0300                 ,112
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0304                 ,252
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0346                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0388                 ,252
32700-0000,11/25/2020 0:00,150-0012                 ,21,230-0418                 ,84
32700-0000,11/25/2020 0:00,150-0012                 ,21,260-0005                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,260-0024                 ,5
32700-0000,11/25/2020 0:00,150-0012                 ,21,270-0004                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,270-0036                 ,756
32700-0000,11/25/2020 0:00,150-0012                 ,21,285-0006                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,285-0010                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,285-0032                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,285-0033                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,300-0019                 ,4
32700-0000,11/25/2020 0:00,150-0012                 ,21,300-0059                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,300-0074                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,300-0129                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,300-0130                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,300-0133                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,360-0030                 ,0
32700-0000,11/25/2020 0:00,150-0012                 ,21,360-0031                 ,0
32700-0000,11/25/2020 0:00,150-0012                 ,21,423-0010                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,423-0011                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,425-0003                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,430-0004                 ,84
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0006                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0007                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0018                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0019                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0025                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0031                 ,0
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0032                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,800-0033                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,810-0003                 ,42
32700-0000,11/25/2020 0:00,150-0012                 ,21,820-0001                 ,126
32700-0000,11/25/2020 0:00,150-0012                 ,21,840-0001                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,880-0005                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,915-0001                 ,21
32700-0000,11/25/2020 0:00,150-0012                 ,21,931-0013                 ,21
