Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32742-0000,12/6/2020 0:00,102-0001                 ,10,100-0001-RMA             ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0070                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0071                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0097                 ,40
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0104                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0109                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0110                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0111                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,200-0113                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,210-0068                 ,40
32742-0000,12/6/2020 0:00,102-0001                 ,10,210-0226                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0014                 ,60
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0176                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0270                 ,15
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0300                 ,16
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0304                 ,120
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0346                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,230-0418                 ,40
32742-0000,12/6/2020 0:00,102-0001                 ,10,260-0005                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,260-0024                 ,1
32742-0000,12/6/2020 0:00,102-0001                 ,10,270-0004                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,270-0036                 ,360
32742-0000,12/6/2020 0:00,102-0001                 ,10,285-0006                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,285-0010                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,285-0032                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,285-0033                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,300-0059                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,300-0074                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,300-0129                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,300-0130                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,300-0133                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,360-0030                 ,0
32742-0000,12/6/2020 0:00,102-0001                 ,10,360-0031                 ,0
32742-0000,12/6/2020 0:00,102-0001                 ,10,423-0010                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,423-0011                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,425-0003                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,500-0100-B               ,1
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0006                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0007                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0018                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0019                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0031                 ,0
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0032                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,800-0033                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,810-0003                 ,20
32742-0000,12/6/2020 0:00,102-0001                 ,10,820-0001                 ,60
32742-0000,12/6/2020 0:00,102-0001                 ,10,840-0001                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,880-0005                 ,10
32742-0000,12/6/2020 0:00,102-0001                 ,10,915-0001                 ,10
