Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32744-0000,12/6/2020 0:00,102-0001                 ,4,100-0001-RMA             ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0070                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0071                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0097                 ,16
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0104                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0109                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0110                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0111                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,200-0113                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,210-0068                 ,16
32744-0000,12/6/2020 0:00,102-0001                 ,4,210-0226                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,230-0014                 ,24
32744-0000,12/6/2020 0:00,102-0001                 ,4,230-0176                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,230-0304                 ,48
32744-0000,12/6/2020 0:00,102-0001                 ,4,230-0346                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,230-0418                 ,16
32744-0000,12/6/2020 0:00,102-0001                 ,4,260-0005                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,270-0004                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,270-0036                 ,144
32744-0000,12/6/2020 0:00,102-0001                 ,4,285-0006                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,285-0010                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,285-0032                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,285-0033                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,300-0059                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,300-0074                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,300-0129                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,300-0130                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,300-0133                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,360-0030                 ,0
32744-0000,12/6/2020 0:00,102-0001                 ,4,360-0031                 ,0
32744-0000,12/6/2020 0:00,102-0001                 ,4,423-0010                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,423-0011                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,425-0003                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0006                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0007                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0018                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0019                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0031                 ,0
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0032                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,800-0033                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,810-0003                 ,8
32744-0000,12/6/2020 0:00,102-0001                 ,4,820-0001                 ,24
32744-0000,12/6/2020 0:00,102-0001                 ,4,840-0001                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,880-0005                 ,4
32744-0000,12/6/2020 0:00,102-0001                 ,4,915-0001                 ,4
