Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32892-0000,1/25/2021 0:00,150-0012                 ,4,100-0001-URB             ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,150-0010                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0070                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0071                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0097                 ,16
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0104                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0109                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0110                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0111                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,200-0113                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,210-0068                 ,16
32892-0000,1/25/2021 0:00,150-0012                 ,4,210-0226                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,230-0014                 ,24
32892-0000,1/25/2021 0:00,150-0012                 ,4,230-0176                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,230-0304                 ,48
32892-0000,1/25/2021 0:00,150-0012                 ,4,230-0346                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,230-0388                 ,48
32892-0000,1/25/2021 0:00,150-0012                 ,4,230-0418                 ,16
32892-0000,1/25/2021 0:00,150-0012                 ,4,260-0005                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,270-0004                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,270-0036                 ,144
32892-0000,1/25/2021 0:00,150-0012                 ,4,285-0010                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,285-0032                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,285-0033                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,285-0039                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,300-0059                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,300-0074                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,300-0129                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,300-0130                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,300-0133                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,360-0030                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,360-0031                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,423-0010                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,423-0011                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,425-0003                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,430-0004                 ,16
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0006                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0007                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0018                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0019                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0025                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0031                 ,12
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0032                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,800-0033                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,810-0003                 ,8
32892-0000,1/25/2021 0:00,150-0012                 ,4,820-0001                 ,24
32892-0000,1/25/2021 0:00,150-0012                 ,4,840-0001                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,880-0005                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,915-0001                 ,4
32892-0000,1/25/2021 0:00,150-0012                 ,4,931-0013                 ,4
