Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32987-0000,2/8/2021 0:00,150-0012                 ,13,100-0001-URB             ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,150-0010                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0064                 ,6
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0068                 ,2
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0070                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0071                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0097                 ,52
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0104                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0109                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0110                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0111                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,200-0113                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,210-0068                 ,52
32987-0000,2/8/2021 0:00,150-0012                 ,13,210-0081                 ,1
32987-0000,2/8/2021 0:00,150-0012                 ,13,210-0086                 ,1
32987-0000,2/8/2021 0:00,150-0012                 ,13,210-0226                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,230-0014                 ,78
32987-0000,2/8/2021 0:00,150-0012                 ,13,230-0176                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,230-0304                 ,156
32987-0000,2/8/2021 0:00,150-0012                 ,13,230-0346                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,230-0388                 ,156
32987-0000,2/8/2021 0:00,150-0012                 ,13,230-0418                 ,52
32987-0000,2/8/2021 0:00,150-0012                 ,13,260-0005                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,260-0007                 ,6
32987-0000,2/8/2021 0:00,150-0012                 ,13,260-0024                 ,3
32987-0000,2/8/2021 0:00,150-0012                 ,13,270-0004                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,270-0036                 ,468
32987-0000,2/8/2021 0:00,150-0012                 ,13,285-0010                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,285-0032                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,285-0033                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,285-0039                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,300-0059                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,300-0074                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,300-0129                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,300-0130                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,300-0133                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,360-0030                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,360-0031                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,423-0010                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,423-0011                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,425-0003                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,430-0004                 ,52
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0006                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0007                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0018                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0019                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0025                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0031                 ,39
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0032                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,800-0033                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,810-0003                 ,26
32987-0000,2/8/2021 0:00,150-0012                 ,13,820-0001                 ,78
32987-0000,2/8/2021 0:00,150-0012                 ,13,840-0001                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,880-0005                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,915-0001                 ,13
32987-0000,2/8/2021 0:00,150-0012                 ,13,931-0013                 ,13
