Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33320-0000,05/21/2021,102-0001                 ,68.00000,100-0001-RMA             ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0070                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0071                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0097                 ,272.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0104                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0109                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0110                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0111                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,200-0113                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,210-0068                 ,272.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,210-0226                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,230-0014                 ,408.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,230-0176                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,230-0304                 ,816.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,230-0346                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,230-0396                 ,2448.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,230-0418                 ,272.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,260-0005                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,270-0004                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,270-0036                 ,0.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,285-0010                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,285-0032                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,285-0033                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,285-0039                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,300-0059                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,300-0074                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,300-0129                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,300-0130                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,300-0133                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,360-0030                 ,0.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,360-0031                 ,0.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,360-0032                 ,0.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,360-0033                 ,0.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,423-0010                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,423-0011                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,425-0003                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0006                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0007                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0018                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0019                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0031                 ,204.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0032                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,800-0033                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,810-0003                 ,136.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,820-0001                 ,408.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,840-0001                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,880-0005                 ,68.00000
33320-0000,05/21/2021,102-0001                 ,68.00000,915-0001                 ,68.00000

