Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,100-0001-RMA             ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0070                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0071                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0097                 ,24.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0104                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0109                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0110                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0111                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,200-0113                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,210-0068                 ,24.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,210-0226                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,230-0014                 ,36.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,230-0176                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,230-0304                 ,72.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,230-0346                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,230-0418                 ,24.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,260-0005                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,270-0004                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,270-0036                 ,216.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,285-0010                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,285-0032                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,285-0033                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,285-0039                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,300-0059                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,300-0074                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,300-0129                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,300-0130                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,300-0133                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,360-0030                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,360-0031                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,423-0010                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,423-0011                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,425-0003                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0006                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0007                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0018                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0019                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0031                 ,18.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0032                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,800-0033                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,810-0003                 ,12.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,820-0001                 ,36.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,840-0001                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,880-0005                 ,6.00000
32978-0000,2/10/2021 12:00:00 AM,102-0001                 ,6.00000,915-0001                 ,6.00000

