Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34232-0000,12/13/2021,150-0016                 ,50.00000,100-0002-RMA             ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,150-0010                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0070                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0071                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0097                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0104                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0110                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0113                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0140                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,200-0202                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,210-0068                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,230-0388                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,230-0396                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,260-0005                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,260-0078                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,285-0032                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,285-0033                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,285-0053                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,285-0076                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,300-0133                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,300-0155                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,300-0160                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,300-0247                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,300-0248                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,360-0060                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,423-0010                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,430-0004                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0006                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0007                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0018                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0019                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0031                 ,150.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0032                 ,100.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0033                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,800-0042                 ,0.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,810-0003                 ,100.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,820-0001                 ,300.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,840-0002                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,880-0005                 ,50.00000
34232-0000,12/13/2021,150-0016                 ,50.00000,915-0001                 ,50.00000

