Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33279-0000,04/28/2021,102-0001                 ,8.00000,100-0001-RMA             ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0070                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0071                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0097                 ,32.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0104                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0109                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0110                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0111                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,200-0113                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,210-0068                 ,32.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,210-0226                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,230-0014                 ,48.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,230-0176                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,230-0304                 ,96.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,230-0346                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,230-0396                 ,288.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,230-0418                 ,32.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,260-0005                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,270-0004                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,270-0036                 ,0.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,285-0010                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,285-0032                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,285-0033                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,285-0039                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,300-0059                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,300-0074                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,300-0129                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,300-0130                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,300-0133                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,360-0030                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,360-0031                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,360-0032                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,360-0033                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,423-0010                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,423-0011                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,425-0003                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0006                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0007                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0018                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0019                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0031                 ,24.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0032                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,800-0033                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,810-0003                 ,16.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,820-0001                 ,48.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,840-0001                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,880-0005                 ,8.00000
33279-0000,04/28/2021,102-0001                 ,8.00000,915-0001                 ,8.00000

