Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33290-0000,05/10/2021,102-0001                 ,31.00000,100-0001-RMA             ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0070                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0071                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0097                 ,124.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0104                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0109                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0110                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0111                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,200-0113                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,210-0068                 ,124.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,210-0226                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0014                 ,186.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0176                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0270                 ,25.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0300                 ,80.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0304                 ,372.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0346                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0396                 ,1116.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,230-0418                 ,124.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,260-0005                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,260-0007                 ,20.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,260-0024                 ,17.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,270-0004                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,270-0036                 ,0.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,285-0010                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,285-0032                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,285-0033                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,285-0039                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,300-0059                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,300-0074                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,300-0129                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,300-0130                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,300-0133                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,360-0030                 ,0.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,360-0031                 ,0.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,360-0032                 ,0.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,360-0033                 ,0.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,360-0055                 ,3.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,423-0010                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,423-0011                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,425-0003                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0006                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0007                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0018                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0019                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0031                 ,93.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0032                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,800-0033                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,810-0003                 ,62.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,820-0001                 ,186.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,840-0001                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,880-0005                 ,31.00000
33290-0000,05/10/2021,102-0001                 ,31.00000,915-0001                 ,31.00000

