Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,100-0001-RMA             ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0070                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0071                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0097                 ,304.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0104                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0109                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0110                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0111                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,200-0113                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,210-0068                 ,304.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,210-0226                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,230-0014                 ,456.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,230-0176                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,230-0304                 ,912.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,230-0346                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,230-0396                 ,2736.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,230-0418                 ,304.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,260-0005                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,260-0007                 ,20.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,270-0004                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,270-0036                 ,0.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,285-0010                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,285-0032                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,285-0033                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,285-0039                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,300-0019-B               ,4.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,300-0059                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,300-0074                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,300-0129                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,300-0130                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,300-0133                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,360-0030                 ,0.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,360-0031                 ,0.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,360-0032                 ,0.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,360-0033                 ,0.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,423-0010                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,423-0011                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,425-0003                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0006                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0007                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0018                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0019                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0031                 ,228.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0032                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,800-0033                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,810-0003                 ,152.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,810-0005                 ,78.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,820-0001                 ,456.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,840-0001                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,880-0005                 ,76.00000
33131-0000,3/17/2021 12:00:00 AM,102-0001                 ,76.00000,915-0001                 ,76.00000

