Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34145-0000,12/08/2021,150-0016                 ,80.00000,100-0002-RMA             ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,150-0010                 ,0.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0070                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0071                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0097                 ,320.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0104                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0110                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0113                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0140                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,200-0202                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,210-0017                 ,1.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,210-0068                 ,0.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,210-0068                 ,240.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,210-0232                 ,4.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,210-0352                 ,3.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,230-0201                 ,2.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,230-0203                 ,2.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,230-0365                 ,10.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,230-0388                 ,960.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,230-0396                 ,2880.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,230-0430                 ,1.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,240-0012                 ,1.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,260-0005                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,260-0007                 ,20.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,260-0024                 ,2.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,260-0078                 ,20.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,285-0032                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,285-0033                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,285-0053                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,285-0076                 ,200.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0019                 ,10.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0133                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0138                 ,1.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0141                 ,2.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0155                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0160                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0179                 ,1.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0247                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,300-0248                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,320-0077                 ,2.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,360-0060                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,400-0005                 ,45.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,423-0010                 ,210.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,425-0004                 ,6.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,430-0004                 ,320.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0006                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0007                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0018                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0019                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0031                 ,240.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0032                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0033                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,800-0042                 ,0.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,810-0003                 ,160.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,820-0001                 ,480.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,840-0002                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,880-0005                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,915-0001                 ,80.00000
34145-0000,12/08/2021,150-0016                 ,80.00000,810-0005                 ,80.00000

